開票区名,山田　かずお（日本共産党）,かずえちゃん（立憲民主党）,たきなみ　宏文（自由民主党）,浜田　智（ＮＨＫ党）,千田　たかひろ（参政党）,おおさか　幸太郎（日本保守党）,山中　しゅんすけ（国民民主党）,得票数計
福井市,5606,12506,46425,1429,20233,5668,30987,122854
敦賀市,1984,3102,11045,276,4743,1329,7745,30224
小浜市,751,1599,6214,124,2531,444,2784,14447
大野市,519,922,8726,69,1729,466,2543,14974
勝山市,450,888,5771,79,1229,403,2116,10936
鯖江市,1148,3252,11300,338,5847,1529,9034,32448
あわら市,569,1139,5458,112,2023,503,2867,12671
越前市,1710,4339,13178,333,5947,1545,9853,36905
坂井市,2081,4451,16660,388,7267,1937,10386,43170
永平寺町,380,902,3935,74,1356,385,2277,9309
池田町,54,170,552,10,126,38,194,1144
南越前町,171,489,2363,36,715,140,1058,4972
越前町,350,933,4748,87,1420,352,2711,10601
美浜町,209,446,2331,30,601,135,938,4690
高浜町,235,370,2065,56,1118,153,1038,5035
おおい町,217,387,2081,36,665,141,835,4362
若狭町,327,678,3568,64,1218,216,1387,7458
福井県,16761,36573,146420,3541,58768,15384,88753,366200
